raw_text,link,page_found,scrape_timestamp,price,size,district,rooms,has_outdoor,is_neubau,is_furnished,price_per_m2,dist_center,dist_ubahn,nearest_ubahn,fingerprint
"Zentrale 4-Zimmer-Wohnung nahe Karlsplatz | 1040 Wien, 04. Bezirk, Wieden, Operngasse | 82 m² | 4 Zimmer | Gewerblicher Anbieter | € 1.264,02",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/zentrale-4-zimmer-wohnung-nahe-karlsplatz-1533491006/,1,2026-01-19T07:24:11.078597,1264.02,82.0,1040.0,4.0,0,0,0,15.414878048780487,1.9401070499167226,0.8095003750608214,Karlsplatz (U1/U2/U4),a9485413cd
"Penthouse | 1100 Wien, 10. Bezirk, Favoriten | 200 m² | 7 Zimmer | Dachterrasse | Privat | € 5.000",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/penthouse-1824377316/,1,2026-01-19T07:24:11.110521,5000.0,200.0,1100.0,7.0,1,0,0,25.0,5.852546811736052,3.2766015505325448,Südtiroler Platz (U1),cd9ba08a6f
"Arbeiten & Wohnen vereint - moderne 2-Zimmer-Wohnung mit Balkon & angrenzendem Büro mit separatem Zugang | 1100 Wien, 10. Bezirk, Favoriten, Laxenburger Straße 151D | 37 m² | 3 Zimmer | Balkon | IMPULS Immobilien Verner OG | € 1.181,81",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/arbeiten-wohnen-vereint-moderne-2-zimmer-wohnung-mit-balkon-angrenzendem-buero-mit-separatem-zugang-1742237646/,1,2026-01-19T07:24:11.156334,1181.81,37.0,1100.0,3.0,1,0,0,31.94081081081081,5.852546811736052,3.2766015505325448,Südtiroler Platz (U1),99b40309bf
"Ruhiger 2-Zimmer-Wohntraum, Wohnen am Leberberg! | 1110 Wien, 11. Bezirk, Simmering, Rosa-Jochmann-Ring | 48 m² | 2 Zimmer | Terrasse, Balkon, Loggia | EHL Immobilien GmbH | € 875,25",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/ruhiger-2-zimmer-wohntraum-wohnen-am-leberberg-2078087816/,1,2026-01-19T07:24:11.172083,875.25,48.0,1110.0,2.0,1,0,0,18.234375,6.4757253638851155,4.909890201536124,Südtiroler Platz (U1),d84f762571
"Charmante Gartenwohnung in 1180 Wien - Ihr grünes Paradies auf 48,61 m²! | 1180 Wien, 18. Bezirk, Währing | 49 m² | Garten | Peschak Immobilien GmbH | € 1.099,99",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/charmante-gartenwohnung-in-1180-wien-ihr-gruenes-paradies-auf-48-61-m-1009378133/,1,2026-01-19T07:24:11.189438,1099.99,61.0,1180.0,,1,0,0,18.032622950819672,4.063677328064962,2.071619426532513,Nußdorfer Straße (U6),7694ab2f4f
"AB SOFORT BEZIEHBAR!! Wohnen in Floridsdorf - 3-Zimmergartenwohnung Nähe Shopping City Nord & Klink Floridsdorf!! | 1210 Wien, 21. Bezirk, Floridsdorf, Siemensstraße | 74 m² | 3 Zimmer | Terrasse, Garten | Doppio Immobilien GmbH | € 1.482,92",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/ab-sofort-beziehbar-wohnen-in-floridsdorf-3-zimmergartenwohnung-naehe-shopping-city-nord-klink-floridsdorf-1552988207/,1,2026-01-19T07:24:11.206241,1482.92,74.0,1210.0,3.0,1,0,0,20.03945945945946,7.830344675986125,4.853677079613875,Floridsdorf (U6),e713de75b0
"Vermiete PRIVAT 40m2 Wohnung- Grünruhelage, hofseitig, 1 Zimmer | 1100 Wien, 10. Bezirk, Favoriten, Herzgasse | 40 m² | 1 Zimmer | Garten | Privat | € 835",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/vermiete-privat-40m2-wohnung-gruenruhelage-hofseitig-1-zimmer-1931225219/,1,2026-01-19T07:24:11.221078,835.0,40.0,1100.0,1.0,1,0,0,20.875,5.852546811736052,3.2766015505325448,Südtiroler Platz (U1),6b5aa749ed
"Kolo 35 - Zentral begehbare Wohnung in Hofruhelage mit Abstellraum nahe S-Bahn Jedlersdorf, Denglerpark und SCN. - WOHNTRAUM | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 77 m² | 3 Zimmer | Balkon | teamneunzehn-Gruppe | € 1.427",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-zentral-begehbare-wohnung-in-hofruhelage-mit-abstellraum-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-wohntraum-1191707403/,1,2026-01-19T07:24:11.237137,1427.0,77.0,1210.0,3.0,1,0,0,18.532467532467532,7.830344675986125,4.853677079613875,Floridsdorf (U6),9f2fc0cf6a
"Kolo 35 - Neubau-Wohnung mit Terrasse nahe S-Bahn Jedlersdorf, Denglerpark und SCN! - JETZT ZUSCHLAGEN | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 42 m² | 2 Zimmer | Terrasse | teamneunzehn-Gruppe | € 879,89",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-neubau-wohnung-mit-terrasse-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-jetzt-zuschlagen-977023593/,1,2026-01-19T07:24:11.253394,879.89,42.0,1210.0,2.0,1,1,0,20.949761904761903,7.830344675986125,4.853677079613875,Floridsdorf (U6),58c69fc051
"Kolo 35 - Klimatisierte Dachgeschoss-Wohnung mit 2 Terrassen nahe SCN, Denglerpark und Prager Straße! - Ab sofort! - JETZT ZUSCHLAGEN | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 52 m² | 2 Zimmer | Terrasse | teamneunzehn-Gruppe | € 950,16",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-klimatisierte-dachgeschoss-wohnung-mit-2-terrassen-nahe-scn-denglerpark-und-prager-strasse-ab-sofort-jetzt-zuschlagen-1104209907/,1,2026-01-19T07:24:11.269841,950.16,52.0,1210.0,2.0,1,0,0,18.27230769230769,7.830344675986125,4.853677079613875,Floridsdorf (U6),3f033b3aeb
"Kolo 35 - Tolle 2-Zimmer Wohnung mit Terrasse beim FAC-Platz nahe S-Bahn Jedlersdorf, Denglerpark und SCN - JETZT ANFRAGEN | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 59 m² | 2 Zimmer | Terrasse | teamneunzehn-Gruppe | € 1.138,67",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-tolle-2-zimmer-wohnung-mit-terrasse-beim-fac-platz-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-jetzt-anfragen-1351473205/,1,2026-01-19T07:24:11.285756,1138.67,59.0,1210.0,2.0,1,0,0,19.29949152542373,7.830344675986125,4.853677079613875,Floridsdorf (U6),91cd7d81e3
"26. OG | Neuwertig| 3 Zimmer | Provisionsfrei | DAN-Küche | Loggia | Helio Tower | 1030 Wien, 03. Bezirk, Landstraße, Döblerhofstraße 10 | 84 m² | 3 Zimmer | Loggia | Privat | € 2.000",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/26-og-neuwertig-3-zimmer-provisionsfrei-dan-kueche-loggia-helio-tower-1407311746/,1,2026-01-19T07:24:11.345538,2000.0,84.0,1030.0,3.0,1,0,1,23.80952380952381,1.96540338263234,1.781984567677369,Schwedenplatz (U1/U4),2a0cbeb89f
