raw_text,link,page_found,scrape_timestamp,price,size,rooms,district,has_balkon,has_terrasse,is_neubau,is_furnished,has_outdoor,floor,is_temporary,price_per_m2,snapshot_date,fingerprint
"Moderne 2-Zimmerwohnung mit Loggia in U-Bahn-Nähe | 1160 Wien, 16. Bezirk, Ottakring, Zöchbauerstraße | 43 m² | 2 Zimmer | Loggia | ASW Immobilien Service & Consulting GmbH | € 899",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/moderne-2-zimmerwohnung-mit-loggia-in-u-bahn-naehe-1072395076/,6,2026-01-13T10:50:55.891914,899.0,43.0,2.0,1160.0,,,0,0,1,,,20.906976744186046,2026-01-13,749e92eb72
"Ihr neues Zuhause in Toplage DOMMAYERGASSE - inkl. Balkon mit Grünblick | ZELLMANN IMMOBILIEN | 1130 Wien, 13. Bezirk, Hietzing, Dommayergasse | 104 m² | 3 Zimmer | Balkon, Loggia | ZELLMANN IMMOBILIEN | € 1.770",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/ihr-neues-zuhause-in-toplage-dommayergasse-inkl-balkon-mit-gruenblick-zellmann-immobilien-1080225143/,6,2026-01-13T10:50:55.875486,1770.0,104.0,3.0,1130.0,,,0,0,1,,,17.01923076923077,2026-01-13,e7b259935b
"Altbauwohnung im 9. Bezirk - frisch saniert! | 1090 Wien, 09. Bezirk, Alsergrund | 121 m² | 3 Zimmer | Spiegelfeld Immobilien GmbH | € 1.971,85",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/altbauwohnung-im-9-bezirk-frisch-saniert-1782444909/,6,2026-01-13T10:50:55.859926,1971.85,121.0,3.0,1090.0,,,0,0,0,,,16.296280991735536,2026-01-13,6bfdc805f1
"SPEISING 4 Zimmer Wohnung in Grünruhelage mit Garagenplatz und Ladestation | 1130 Wien, 13. Bezirk, Hietzing, Anton-Langer-Gasse 62 | 96 m² | 4 Zimmer | Balkon, Loggia | Privat | € 1.990",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/speising-4-zimmer-wohnung-in-gruenruhelage-mit-garagenplatz-und-ladestation-1403655817/,6,2026-01-13T10:50:55.844878,1990.0,96.0,4.0,1130.0,,,0,0,1,,,20.729166666666668,2026-01-13,366dbb5bd9
"Schöne zentral begehbare 3 Zimmer Wohnung im 4. Liftstock | 1100 Wien, 10. Bezirk, Favoriten, Alxingergasse 65 | 52 m² | 3 Zimmer | Gewerblicher Anbieter | € 1.088,56",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/schoene-zentral-begehbare-3-zimmer-wohnung-im-4-liftstock-905817254/,6,2026-01-13T10:50:55.829519,1088.56,52.0,3.0,1100.0,,,0,0,0,,,20.933846153846154,2026-01-13,4b8c2e6280
"Helles 13 m² Zimmer in 2er WG (U1 Keplerplatz) | 1100 Wien, 10. Bezirk, Favoriten, Scheugasse | 60 m² | 3 Zimmer | Privat | € 630",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/helles-13-m-zimmer-in-2er-wg-u1-keplerplatz-1532486893/,6,2026-01-13T10:50:55.813689,630.0,13.0,3.0,1100.0,,,0,0,0,,,48.46153846153846,2026-01-13,1b4be7a1dc
"room4rent_Serviced Apartments_Hoch33_STANDARD | 1100 Wien, 10. Bezirk, Favoriten, Laaer-Berg-Straße 47A | 31 m² | 1 Zimmer | Balkon | room4rent | € 1.090",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/room4rent-serviced-apartments-hoch33-standard-1690457812/,6,2026-01-13T10:50:55.782652,1090.0,31.0,1.0,1100.0,,,0,0,1,,,35.16129032258065,2026-01-13,0985d6b503
"2 ZIMMER BALKON PÄRCHENTRAUM | 1100 Wien, 10. Bezirk, Favoriten, Laxenburger Straße 82 | 45 m² | 2 Zimmer | Balkon | Traumimmobilien.at | € 885",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/2-zimmer-balkon-paerchentraum-962449698/,6,2026-01-13T10:50:55.619822,885.0,45.0,2.0,1100.0,,,0,0,1,,,19.666666666666668,2026-01-13,8280955d6c
"room4rent - Serviced Apartments | Vienna Academic Guesthouse_LARGE | 1220 Wien, 22. Bezirk, Donaustadt, Eva-Maria-Mazzucco-Platz 4 | 43 m² | 1 Zimmer | Balkon | room4rent | € 1.170",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/room4rent-serviced-apartments-vienna-academic-guesthouse-large-1340457157/,6,2026-01-13T10:50:55.765944,1170.0,43.0,1.0,1220.0,,,0,0,1,,,27.2093023255814,2026-01-13,742808028f
"room4rent_Serviced Apartments_Hoch33_SUITE | 1100 Wien, 10. Bezirk, Favoriten, Laaer-Berg-Straße 47A | 44 m² | 2 Zimmer | Balkon | room4rent | € 1.640",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/room4rent-serviced-apartments-hoch33-suite-1642751001/,6,2026-01-13T10:50:55.749264,1640.0,44.0,2.0,1100.0,,,0,0,1,,,37.27272727272727,2026-01-13,8388ae4e41
